Name,Artists,Main Artist,Year,Album,New Path
I Ain't Worried,OneRepublic,Lady Gaga,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),
Bloody Mary,Lady Gaga,Lady Gaga,2011-05-23,Born This Way (International Special Edition Version),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lady Gaga\Born This Way (International Special Edition Version)\184 - Lady Gaga - Bloody Mary.mp3
2 Son 3,Lali,Lali,2022-08-25,2 Son 3,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lali\2 Son 3\288 - Lali - 2 Son 3.mp3
N5,Lali,Lali,2022-06-22,N5,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lali\N5\284 - Lali - N5.mp3
Dance Yrself Clean,LCD Soundsystem,LCD Soundsystem,2010-05-17,This Is Happening,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\LCD Soundsystem\This Is Happening\190 - LCD Soundsystem - Dance Yrself Clean.mp3
Train pour Bandol,Les keke-boys,Les keke-boys,2011-04-13,Train pour Bandol,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Les keke-boys\Train pour Bandol\008 - Les keke-boys - Train pour Bandol.mp3
Someone You Loved,Lewis Capaldi,Lewis Capaldi,2018-11-08,Breach,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lewis Capaldi\Breach\099 - Lewis Capaldi - Someone You Loved.mp3
THATS WHAT I WANT,Lil Nas X,Lil Nas X,2021-09-17,MONTERO,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lil Nas X\MONTERO\042 - Lil Nas X - THATS WHAT I WANT.mp3
About Damn Time,Lizzo,Lizzo,2022-04-14,About Damn Time,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lizzo\About Damn Time\051 - Lizzo - About Damn Time.mp3
DISCOTEKA,Lola Indigo,Lola Indigo,2022-08-25,DISCOTEKA,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lola Indigo\DISCOTEKA\289 - Lola Indigo - DISCOTEKA.mp3
The Night We Met,Lord Huron,Lord Huron,2015-04-07,Strange Trails,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lord Huron\Strange Trails\236 - Lord Huron - The Night We Met.mp3
Dive,Lost Frequencies,Lost Frequencies,2023-09-01,Dive,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lost Frequencies\Dive\163 - Lost Frequencies - Dive.mp3
Where Are You Now,Lost Frequencies,Lost Frequencies,2021-07-30,Where Are You Now,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lost Frequencies\Where Are You Now\027 - Lost Frequencies - Where Are You Now.mp3
Halo,Lotte Kestner,Lotte Kestner,2013-02-26,The Bluebird of Happiness,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lotte Kestner\The Bluebird of Happiness\228 - Lotte Kestner - Halo.mp3
Long Goodbye,LP,LP,2023-09-29,Love Lines,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\LP\Love Lines\155 - LP - Long Goodbye.mp3
Bever,Ludovico Einaudi,Ludovico Einaudi,2023-03-17,Bever,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Ludovico Einaudi\Bever\106 - Ludovico Einaudi - Bever.mp3
Einaudi: Waterways,Ludovico Einaudi,Ludovico Einaudi,2023-09-15,In A Time Lapse (Deluxe),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Ludovico Einaudi\In A Time Lapse (Deluxe)\138 - Ludovico Einaudi - Einaudi_ Waterways.mp3
A Dona Aranha,Luísa Sonza,Luísa Sonza,2023-08-31,Escândalo Íntimo,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Luísa Sonza\Escândalo Íntimo\230 - Luísa Sonza - A Dona Aranha.mp3
On My Mind (Extended Mix),Lynnic,Lynnic,2023-06-02,On My Mind,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lynnic\On My Mind\248 - Lynnic - On My Mind (Extended Mix).mp3
Got a Friend,Mahalo,Mahalo,2023-09-08,Currents,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\M\Mahalo\Currents\183 - Mahalo - Got a Friend.mp3
Tudo Ou Nada,Majur,Majur,2023-05-04,ARRISCA,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\M\Majur\ARRISCA\181 - Majur - Tudo Ou Nada.mp3
Gafas Negras,Maluma,Maluma,2024-01-25,Gafas Negras,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\M\Maluma\Gafas Negras\269 - Maluma - Gafas Negras.mp3
Mama Tetema (feat. Rayvanny),Maluma,Maluma,2021-11-11,Mama Tetema (feat. Rayvanny),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\M\Maluma\Mama Tetema (feat. Rayvanny)\268 - Maluma - Mama Tetema (feat. Rayvanny).mp3
